,coefficient,word
0,-2.6493429285238257,pray
1,-2.231198568371805,prayers
2,-2.118380402476809,thoughts
3,-2.0382159635938306,prayforboston
4,-1.904493103823699,russianmeteor
5,-1.8677427152135333,love
6,-1.7493537407310953,redoctober
7,-1.489590376825028,prayfortexas
8,-1.460724200931081,everyone
9,-1.4077791346555029,go
10,-1.3657817341668614,prayforvisayas
11,-1.3654207645370233,hope
12,-1.348003918406279,god
13,-1.2132775375616713,singapore
14,-1.1932683344205293,haze
15,-1.1207545791083124,think
16,-1.061788100124667,heart
17,-1.0263440676793547,get
18,-0.9978794249357227,really
19,-0.9806516421151455,good
20,-0.9728437186568423,sad
21,-0.9542838672323408,california
22,-0.8879155089279439,let
23,-0.8875738092800617,lol
24,-0.8855206950200034,safe
25,-0.8645227219341991,prayforthephilippines
26,-0.8630634356270334,like
27,-0.8561218340123279,happen
28,-0.8469402241857147,september
29,-0.8088246862725811,crazy
30,-0.8072424865399419,laugh
31,-0.8070896908160498,ca
32,-0.7883975303251649,world
33,-0.7760476838316531,lord
34,-0.7599644483963176,prayforbohol
35,-0.7254691900609539,bless
36,-0.718503842802487,beautiful
37,-0.6984185189540634,bestrapper
38,-0.6955822478818604,hear
39,-0.6922107538284514,day
40,-0.68874095120993,prayer
41,-0.6803284430892336,feel
42,-0.6739098997526983,fuck
43,-0.6732517163336839,thing
44,-0.6654623765878322,prayforwest
45,-0.6328167506727793,never
46,-0.6289351815770071,see
47,-0.6102705202980244,us
48,-0.6078026276503972,affect
49,-0.5966930246840036,initialsofsomeonespecial
50,-0.5915681493363436,haha
51,-0.5898094634225628,shit
52,-0.5775869741973855,friends
53,-0.5767424725061318,would
54,-0.5737466450240782,make
55,-0.5734671079940714,ok
56,-0.5693359992014555,okay
57,-0.56682696837711,alaska
58,-0.5645863304065605,believe
59,-0.5591834081847534,dear
60,-0.5587586277705966,know
61,-0.553875765186875,families
62,-0.5522256659215286,sghaze
63,-0.5518745339418463,involve
64,-0.5503435688033632,thank
65,-0.5413772787362496,spring
66,-0.5384673648149751,keep
67,-0.5383882294163288,prayforcebu
68,-0.5314947550343654,tragedy
69,-0.5293180637026008,gmt
70,-0.5237658930839911,job
71,-0.5139537624019165,afghanistan
72,-0.5117264275681886,islands
73,-0.5036539067474245,prayfromjapan
74,-0.5002830705258563,always
75,-0.49029856063897354,forget
76,-0.4901388176510473,cry
77,-0.48447668492061546,damn
78,-0.4834249753259605,earthquake
79,-0.4796448960038675,best
80,-0.4755954323724184,terrible
81,-0.47461287742246533,wish
82,-0.46999804056700395,hearts
83,-0.4691857551464526,kind
84,-0.46796113787179594,omg
85,-0.4675333468738402,wow
86,-0.4612499514804447,oh
87,-0.4574205880323008,time
88,-0.4548341686029963,shahbag
89,-0.45284476736283447,happy
90,-0.44803916807892474,peace
91,-0.446734449679913,stay
92,-0.4459037987554473,cardinals
93,-0.4456570766176825,game
94,-0.43032933823305164,soldier
95,-0.42759261270144044,scary
96,-0.4267659222009143,sorry
97,-0.425761695499688,followers
98,-0.41840008912048593,lt
99,-0.4140980224327531,care
100,-0.41382055205460494,banglaspring
101,-0.4100669435060242,little
102,-0.40827700305380055,sex
103,-0.4066277110186938,soon
104,-0.3992218034759473,horrible
105,-0.3976615731576544,end
106,-0.3969972546761987,wtf
107,-0.3959100962193537,boston
108,-0.3948322255727358,savebangladesh
109,-0.39232825851839737,trend
110,-0.391005113127554,better
111,-0.38804758042293985,great
112,-0.3844907353670742,deal
113,-0.38417048712213536,rip
114,-0.38338848114575935,hahaha
115,-0.3825471182754152,santamaria
116,-0.38209538986520974,guy
117,-0.3803644100886233,bad
118,-0.3768952225173982,im
119,-0.376105566598534,right
120,-0.36926252461043263,come
121,-0.3680399006409556,sick
122,-0.36603930816345803,hate
123,-0.3654204288834183,much
124,-0.36378162891718924,things
125,-0.3626610149258975,joke
126,-0.36185589148657343,ever
127,-0.360710590441488,hop
128,-0.35800638455790157,america
129,-0.35271077614933083,well
130,-0.3517674273619722,nobody
131,-0.3466058082395823,stop
132,-0.3417108733314932,every
133,-0.3358844765702409,hello
134,-0.3299578604975411,respect
135,-0.3293045809717813,wonder
136,-0.3270746286120581,try
137,-0.32685757192063125,sleep
138,-0.3230411894471805,way
139,-0.3220966379627024,actually
140,-0.3211988302054432,real
141,-0.32104848962351884,hell
142,-0.3185741405223034,another
143,-0.31836632702336715,texas
144,-0.3162924522409703,particular
145,-0.31513271778853347,scar
146,-0.3149474033539106,helicopter
147,-0.31244091651453226,girl
148,-0.3104644729843661,save
149,-0.31032582946030773,na
150,-0.307860088084079,war
151,-0.30616212124681913,life
152,-0.3060956838167855,hey
153,-0.30453023545007046,song
154,-0.30411518253587005,dont
155,-0.30263845362739056,rest
156,-0.299547547501957,must
157,-0.29835531374385904,ariannatngco
158,-0.2976119089949809,xx
159,-0.2969485044349826,clutha
160,-0.2954553306919127,alright
161,-0.2951530349090812,heartbreaking
162,-0.29377367476399674,accident
163,-0.29015897485970815,music
164,-0.2890159105117155,though
165,-0.2851711378194642,lose
166,-0.28268101884079877,especially
167,-0.2824336548358037,virgin
168,-0.2788961286742224,anything
169,-0.27770806643936835,true
170,-0.2767908078486441,gt
171,-0.2721222832891476,country
172,-0.2711163987475623,fun
173,-0.26921709990644316,finally
174,-0.26872149780613525,else
175,-0.26830805919038425,gon
176,-0.26694389243807054,amen
177,-0.2651515626544295,tim
178,-0.26397658643280386,indonesia
179,-0.26273906005858366,bangladesh
180,-0.2626282677236267,bigwet
181,-0.2603744739415099,want
182,-0.25803460871598605,japan
183,-0.2569675716417016,chinese
184,-0.2562470305218326,absolutely
185,-0.255603506879991,hopefully
186,-0.2545954916569284,africa
187,-0.2531828622172857,many
188,-0.25088387858708716,smh
189,-0.25072487100032725,worldseries
190,-0.24975348247917795,night
191,-0.24883114593801364,girls
192,-0.24768443908493334,yeah
193,-0.24747088781538423,month
194,-0.24554691973401985,holiday
195,-0.2438130256143652,hill
196,-0.2436036489941931,fine
197,-0.24358177115279264,saw
198,-0.24295868173304558,together
199,-0.23929382289202522,play
200,-0.23853988913477434,disgust
201,-0.2378932220690073,utclocation
202,-0.23759182104157797,complain
203,-0.23699392300208919,china
204,-0.2369654980320608,big
205,-0.2335834502751816,costarica
206,-0.233262671518348,cardinalnation
207,-0.231558108782603,france
208,-0.23108830163338076,cant
209,-0.23062553243150058,prayforphilippines
210,-0.23047870215701297,back
211,-0.23046574505125983,sadden
212,-0.2298648921398435,godbless
213,-0.2290468729049795,work
214,-0.2289281557622,thats
215,-0.22800411196543047,believeacoustic
216,-0.22709553537450158,cebu
217,-0.22624307151511383,jesus
218,-0.22563536585388477,truly
219,-0.22511324126083174,funny
220,-0.22354320577753473,tragic
221,-0.2235168062183068,flyer
222,-0.2227732982648992,seriously
223,-0.22275452967637974,ya
224,-0.2221351481188327,beverly
225,-0.21946601947007754,seem
226,-0.21823660589629307,man
227,-0.2176924599332338,excite
228,-0.215762354323376,typhoons
229,-0.21566780908888672,tonight
230,-0.21471153260225603,snow
231,-0.2141768016606868,hard
232,-0.20896944465945125,side
233,-0.2088532876753409,beat
234,-0.20876227451889037,mean
235,-0.20843881235992878,pretty
236,-0.20624976217558827,poor
237,-0.2060839006851679,letter
238,-0.20584289207709305,protect
239,-0.20505980189063203,star
240,-0.20466281517305976,wrong
241,-0.2043204509642499,enjoy
242,-0.20244787169057388,loss
243,-0.20216261229035914,anymore
244,-0.20178763731210855,deprem
245,-0.2015217139893068,send
246,-0.20114620643870643,lmao
247,-0.20101672783028543,bostonstrong
248,-0.20058396710375698,nut
249,-0.19780870553506025,instagram
250,-0.1977308643920801,sound
251,-0.19606252756053275,pasthour
252,-0.1945371114172097,brothers
253,-0.19432458718586745,peep
254,-0.19387327137038943,luck
255,-0.19333373460504052,walker
256,-0.192977023854051,calm
257,-0.19236062892850703,week
258,-0.1923534237043649,guess
259,-0.19141238627911977,wake
260,-0.19066807093074026,innocent
261,-0.1896604276081723,summer
262,-0.18905989960631,condolences
263,-0.18894863943082485,favorite
264,-0.18871091975130228,bed
265,-0.1874126358575634,anybody
