,coefficient,word
0,-2.5199177624099445,things
1,-2.328252966656211,internet
2,-2.19067551831147,prayforstockholm
3,-1.4083718904668494,nintendodirect
4,-1.066067012891561,thank
5,-1.03677559466855,start
6,-0.9132434740885672,time
7,-0.820042267411179,happen
8,-0.7978245682520864,think
9,-0.7585549514777439,go
10,-0.7157564227900995,back
11,-0.6814059661056113,please
12,-0.6137380200346285,let
13,-0.6060192027112532,hope
14,-0.5988686696013699,get
15,-0.5915846815304268,everyone
16,-0.5845494049651674,nintendo
17,-0.5694281785092965,make
18,-0.5626926705895902,nola
19,-0.5499112830130954,home
20,-0.5363356891543217,fuck
21,-0.5249869719712299,orleans
22,-0.5144977558321571,ca
23,-0.5081681602921067,safe
24,-0.5051933975832061,great
25,-0.5024723548498624,thing
26,-0.5005168042200694,thoughts
27,-0.49917224078430894,post
28,-0.4889424154681148,love
29,-0.4879906060673096,year
30,-0.48528212986347136,see
31,-0.47312924596250194,come
32,-0.4691453497884636,walk
33,-0.46295287490848547,history
34,-0.44922074986678184,god
35,-0.44650963631182744,one
36,-0.4111846739452007,name
37,-0.4101634965452085,share
38,-0.4039621873648348,talk
39,-0.40282152544417826,walvsco
40,-0.3997317887712188,call
41,-0.3940100308276895,like
42,-0.3898455427532441,miss
43,-0.3870655893022741,ok
44,-0.38102062972659545,want
45,-0.3802071458070519,stop
46,-0.3761875992505939,wait
47,-0.37086854029439426,oh
48,-0.36798251146834193,conference
49,-0.3674824768041524,much
50,-0.3588882531948312,end
51,-0.3527044259129927,nice
52,-0.3525509713344534,switch
53,-0.3482539181898841,rfid
54,-0.3471792658079563,prayers
55,-0.3453428868973878,okay
56,-0.34326657258000526,web
57,-0.3431233476733745,science
58,-0.34067293670585813,important
59,-0.33993805186759174,smash
60,-0.3377851314797261,welcome
61,-0.33634008123223424,hear
62,-0.3354234501078138,play
63,-0.33244284786576456,send
64,-0.3321152954662113,need
65,-0.33160064561658437,even
66,-0.32982955340601233,ideas
67,-0.3259861143963127,robots
68,-0.32210907086590496,someone
69,-0.3208866107105136,mechs
70,-0.3159146601628395,twitter
71,-0.3146060834605616,lol
72,-0.31441795645174186,shit
